Grid, Threads, Ass4_Serial, Ass4_Parallel, Deferred_Serial, Deferred_Parallel
250x100, 2, 2.409867, 0.954702, 3.458207, 1.100970
250x100, 4, 5.237536, 0.494784, 4.835553, 0.622298
250x100, 8, 5.254199, 0.315679, 4.836361, 0.476081
250x100, 16, 5.218468, 0.343086, 4.835550, 0.498480
500x200, 2, 5.208373, 0.942252, 4.807834, 1.087486
500x200, 4, 5.195095, 0.489060, 4.810203, 0.617706
500x200, 8, 5.182301, 0.315157, 4.806733, 0.471417
500x200, 16, 5.183986, 0.351270, 4.806773, 0.482058
1000x400, 2, 5.518034, 0.968305, 5.168874, 1.149973
1000x400, 4, 5.116114, 0.487187, 4.802546, 0.658821
1000x400, 8, 5.186893, 0.312494, 4.803739, 0.466765
1000x400, 16, 5.183376, 0.325763, 4.808212, 0.487015
