Grid, Threads, Ass4_Serial, Ass4_Parallel, Immediate_Serial, Immediate_Parallel
250x100, 2, 2.409867, 0.954702, 2.373006, 0.944192
250x100, 4, 5.237536, 0.494784, 5.199459, 0.490206
250x100, 8, 5.254199, 0.315679, 5.198367, 0.315677
250x100, 16, 5.218468, 0.343086, 5.198025, 0.319127
500x200, 2, 5.208373, 0.942252, 5.167397, 0.939830
500x200, 4, 5.195095, 0.489060, 5.169790, 0.486248
500x200, 8, 5.182301, 0.315157, 5.194521, 0.315165
500x200, 16, 5.183986, 0.351270, 5.171816, 0.352960
1000x400, 2, 5.518034, 0.968305, 5.572970, 0.944338
1000x400, 4, 5.116114, 0.487187, 5.174002, 0.492577
1000x400, 8, 5.186893, 0.312494, 5.172929, 0.312817
1000x400, 16, 5.183376, 0.325763, 5.172797, 0.357754
