Grid, Threads, Ass4_Serial, Ass4_Parallel, Immediate_Serial, Immediate_Parallel
250x100, 2, 3.251937, 0.457879, 3.206036, 0.462522
250x100, 4, 3.251937, 0.268532, 3.206036, 0.255150
250x100, 8, 3.251937, 0.253084, 3.206036, 0.258001
250x100, 16, 3.251937, 0.266388, 3.206036, 0.261168
500x200, 2, 3.138342, 0.442013, 3.136508, 0.436705
500x200, 4, 3.138342, 0.263698, 3.136508, 0.256516
500x200, 8, 3.138342, 0.257763, 3.136508, 0.266737
500x200, 16, 3.138342, 0.271624, 3.136508, 0.268601
1000x400, 2, 3.149314, 0.451810, 3.124059, 0.441474
1000x400, 4, 3.149314, 0.252980, 3.124059, 0.254211
1000x400, 8, 3.149314, 0.258719, 3.124059, 0.316050
1000x400, 16, 3.149314, 0.279151, 3.124059, 0.279277
