Iter, W_Interp, C_Interp, W_Mover_S, C_Mover_S, W_Mover_P, C_Mover_P, W_Total_S, C_Total_S, W_Total_P, C_Total_P, W_Speedup, C_Speedup
1, 0.260404, 0.260000, 0.542001, 0.550000, 0.049102, 0.200000, 0.802405, 0.810000, 0.309506, 0.460000, 11.038348, 2.750000
2, 0.251615, 0.250000, 0.522419, 0.520000, 0.049029, 0.200000, 0.774034, 0.770000, 0.300643, 0.450000, 10.655408, 2.600000
3, 0.251022, 0.260000, 0.518352, 0.510000, 0.048684, 0.200000, 0.769374, 0.770000, 0.299706, 0.460000, 10.647376, 2.550000
4, 0.251442, 0.250000, 0.518108, 0.520000, 0.049186, 0.200000, 0.769550, 0.770000, 0.300628, 0.450000, 10.533654, 2.600000
5, 0.256251, 0.260000, 0.522075, 0.520000, 0.049267, 0.200000, 0.778326, 0.780000, 0.305518, 0.460000, 10.596913, 2.600000
6, 0.253089, 0.250000, 0.518346, 0.520000, 0.048609, 0.200000, 0.771435, 0.770000, 0.301698, 0.450000, 10.663539, 2.600000
7, 0.253511, 0.250000, 0.527698, 0.530000, 0.049467, 0.200000, 0.781209, 0.780000, 0.302978, 0.450000, 10.667651, 2.650000
8, 0.253668, 0.260000, 0.523359, 0.520000, 0.049219, 0.200000, 0.777027, 0.780000, 0.302886, 0.460000, 10.633318, 2.600000
9, 0.252238, 0.250000, 0.532876, 0.540000, 0.049351, 0.190000, 0.785114, 0.790000, 0.301589, 0.440000, 10.797579, 2.842105
10, 0.256935, 0.270000, 0.517190, 0.510000, 0.048798, 0.200000, 0.774124, 0.780000, 0.305733, 0.470000, 10.598595, 2.550000
