Iter, W_Interp, C_Interp, W_Mover_S, C_Mover_S, W_Mover_P, C_Mover_P, W_Total_S, C_Total_S, W_Total_P, C_Total_P, W_Speedup, C_Speedup
1, 0.108228, 0.108022, 0.313397, 0.313371, 0.025768, 0.102777, 0.421625, 0.421393, 0.133997, 0.210799, 12.162115, 3.049038
2, 0.108399, 0.146025, 0.316346, 0.316345, 0.025445, 0.100938, 0.424745, 0.462370, 0.133844, 0.246963, 12.432492, 3.134053
3, 0.112752, 0.151041, 0.339245, 0.339240, 0.027345, 0.107382, 0.451997, 0.490281, 0.140097, 0.258423, 12.406251, 3.159189
4, 0.111472, 0.151022, 0.336286, 0.336284, 0.030472, 0.119191, 0.447759, 0.487306, 0.141944, 0.270213, 11.035953, 2.821388
5, 0.107945, 0.148670, 0.317019, 0.316824, 0.024763, 0.097241, 0.424964, 0.465494, 0.132707, 0.245911, 12.802321, 3.258132
6, 0.108170, 0.147377, 0.310162, 0.310160, 0.024686, 0.096642, 0.418332, 0.457537, 0.132855, 0.244019, 12.564384, 3.209371
7, 0.108990, 0.148955, 0.311396, 0.311395, 0.024420, 0.096155, 0.420386, 0.460350, 0.133410, 0.245110, 12.751680, 3.238469
8, 0.108864, 0.148771, 0.311485, 0.311477, 0.024278, 0.096628, 0.420349, 0.460248, 0.133142, 0.245399, 12.829913, 3.223465
9, 0.107496, 0.144091, 0.316555, 0.316545, 0.024702, 0.095959, 0.424052, 0.460636, 0.132198, 0.240050, 12.815143, 3.298753
10, 0.108710, 0.146731, 0.313357, 0.313141, 0.026328, 0.104281, 0.422067, 0.459872, 0.135038, 0.251012, 11.901943, 3.002858
