config,threads,interp_time,norm_time,mover_time,denorm_time,total_time,voids
a,1,0.040000,0.000000,0.053000,0.000000,0.093000,1
a,2,0.040000,0.000000,0.054000,0.000000,0.094000,1
a,4,0.044000,0.000000,0.061000,0.000000,0.105000,1
a,8,0.078000,0.000000,0.105000,0.000000,0.183000,1
a,16,0.129000,0.004000,0.106000,0.005000,0.244000,1
b,1,0.224000,0.000000,0.307000,0.000000,0.531000,10
b,2,0.211000,0.001000,0.298000,0.000000,0.510000,10
b,4,0.239000,0.000000,0.477000,0.000000,0.716000,10
b,8,0.493000,0.000000,0.946000,0.007000,1.446000,10
b,16,0.592000,0.004000,1.189000,0.005000,1.791000,10
c,1,0.147000,0.001000,0.207000,0.000000,0.356000,1
c,2,0.158000,0.003000,0.225000,0.000000,0.386000,1
c,4,0.237000,0.003000,0.392000,0.000000,0.632000,1
c,8,0.590000,0.000000,0.863000,0.000000,1.453000,1
c,16,0.612000,0.006000,0.976000,0.006000,1.599000,1
d,1,0.809000,0.001000,1.143000,0.001000,1.954000,7
d,2,0.863000,0.005000,1.246000,0.001000,2.114000,7
d,4,0.972000,0.000000,2.022000,0.000000,2.995000,7
d,8,2.163000,0.000000,4.198000,0.000000,6.363000,7
d,16,2.477000,0.005000,5.342000,0.007000,7.831000,7
e,1,1.064000,0.005000,0.932000,0.001000,2.002000,1
e,2,1.117000,0.004000,1.017000,0.001000,2.138000,1
e,4,1.280000,0.007000,1.486000,0.004000,2.777000,1
e,8,5.462000,0.001000,3.217000,0.001000,8.681000,1
e,16,6.797000,0.010000,4.249000,0.011000,11.067000,1
