NX,NY,num_particles,maxiter,mpi_ranks,omp_threads,total_cores,iteration,interp_time_s,mover_time_s,total_iter_time_s,active_particles
10,10,1000,1,1,1,1,1,0.000014,0.000043,0.000058,951
10,10,1000,1,1,1,1,1,0.000012,0.000068,0.000081,951
10,10,1000,1,1,1,1,1,0.000012,0.000052,0.000067,951
250,100,900000,10,1,1,1,1,0.007830,0.009782,0.017677,896153
250,100,900000,10,1,1,1,2,0.007827,0.009529,0.017410,892480
250,100,900000,10,1,1,1,3,0.007843,0.009531,0.017424,889366
250,100,900000,10,1,1,1,4,0.007844,0.009533,0.017427,886013
250,100,900000,10,1,1,1,5,0.007775,0.009583,0.017409,881523
250,100,900000,10,1,1,1,6,0.007755,0.009468,0.017268,876818
250,100,900000,10,1,1,1,7,0.007769,0.009469,0.017293,871682
250,100,900000,10,1,1,1,8,0.007707,0.009618,0.017369,866277
250,100,900000,10,1,1,1,9,0.007729,0.009504,0.017289,860565
250,100,900000,10,1,1,1,10,0.007692,0.009321,0.017059,854689
250,100,900000,10,2,1,2,1,0.004363,0.005659,0.010086,896153
250,100,900000,10,2,1,2,2,0.004218,0.005695,0.009957,892480
250,100,900000,10,2,1,2,3,0.004255,0.005569,0.009875,889366
250,100,900000,10,2,1,2,4,0.004259,0.005624,0.009934,886013
250,100,900000,10,2,1,2,5,0.004181,0.005570,0.009800,881523
250,100,900000,10,2,1,2,6,0.004142,0.005595,0.009791,876818
250,100,900000,10,2,1,2,7,0.004107,0.005505,0.009665,871682
250,100,900000,10,2,1,2,8,0.004096,0.005574,0.009724,866277
250,100,900000,10,2,1,2,9,0.004106,0.005461,0.009625,860565
250,100,900000,10,2,1,2,10,0.004074,0.005468,0.009591,854689
250,100,900000,10,1,1,1,1,0.006939,0.008704,0.015690,896117
250,100,900000,10,1,1,1,2,0.006745,0.008584,0.015352,892559
250,100,900000,10,1,1,1,3,0.006730,0.008425,0.015177,889311
250,100,900000,10,1,1,1,4,0.006628,0.008345,0.015005,885843
250,100,900000,10,1,1,1,5,0.006591,0.008307,0.014930,881238
250,100,900000,10,1,1,1,6,0.006688,0.008223,0.014943,876388
250,100,900000,10,1,1,1,7,0.006528,0.008177,0.014737,871150
